한칸,l_type,name,학점,교강사,time
,교양,글로벌핵심영어3(예술디자인대학_초급),2,매튜웨스트,"화5,6,7,8(인문201)"
,교양,글로벌핵심영어3(예술디자인대학_초급),2,앤드류리차드,"화5,6,7,8(인문203)"
,교양,글로벌핵심영어3(예술디자인대학_초급),2,김언조,"화5,6,7,8(인문320)"
,교양,글로벌핵심영어3(음악대학_초급),2,찰스코퍼랜드,"화5,6,7,8(상경417)"
,교양,글로벌핵심영어3(음악대학_초급),2,조영상,"화5,6,7,8(인문101)"
,교양,글로벌핵심영어3(건축대학_중급),2,쉐인케네디,"금1,2,3,4(인문106)"
,교양,"글로벌핵심영어3(건축대학,국제학부_중급)",2,데이비드캐버나,"금1,2,3,4(국제307)"
,교양,글로벌핵심영어3(공과대학_중급),2,스튜어트존스,"목5,6,7,8(인문203)"
,교양,글로벌핵심영어3(공과대학_중급),2,쉐인케네디,"목5,6,7,8(인문202)"
,교양,글로벌핵심영어3(공과대학_중급),2,매튜웨스트,"목5,6,7,8(상경417)"
,교양,글로벌핵심영어3(공과대학_중급),2,그렉캐리,"목5,6,7,8(상경507)"
,교양,글로벌핵심영어3(공과대학_중급),2,마크존스,"목5,6,7,8(국제307)"
,교양,글로벌핵심영어3(공과대학_중급),2,카라마리,"목5,6,7,8(사회304)"
,교양,글로벌핵심영어3(공과대학_중급),2,나탈리할레만스,"목5,6,7,8(인문102)"
,교양,글로벌핵심영어3(공과대학_중급),2,마크존스,"금5,6,7,8(인문201)"
,교양,글로벌핵심영어3(공과대학_중급),2,나탈리할레만스,"금5,6,7,8(인문202)"
,교양,글로벌핵심영어3(공과대학_중급),2,데릭벨,"금5,6,7,8(인문203)"
,교양,글로벌핵심영어3(공과대학_중급),2,카라마리,"금5,6,7,8(상경401)"
,교양,글로벌핵심영어3(공과대학_중급),2,쉐인케네디,"금5,6,7,8(상경417)"
,교양,글로벌핵심영어3(공과대학_중급),2,스튜어트존스,"금5,6,7,8(상경507)"
,교양,글로벌핵심영어3(공과대학_중급),2,앤드류리차드,"금5,6,7,8(인문320)"
,교양,글로벌핵심영어3(공과대학_중급),2,그렉캐리,"금5,6,7,8(인문101)"
,교양,글로벌핵심영어3(예술디자인대학_중급),2,스튜어트존스,"화5,6,7,8(사회304)"
,교양,글로벌핵심영어3(예술디자인대학_중급),2,이유진,"화5,6,7,8(상경401)"
,교양,글로벌핵심영어3(예술디자인대학_중급),2,카라마리,"화5,6,7,8(상경507)"
,교양,글로벌핵심영어3(음악대학_중급),2,쉐인케네디,"화5,6,7,8(인문202)"
,교양,글로벌핵심영어3(외국인유학생전용),2,이유진,"화1,2,3,4(국제307)"
,교양,글로벌핵심영어3(공통_초급),2,나탈리할레만스,"월11,12,13,14(인문201)"
,교양,글로벌핵심영어3(공통_초급),2,김언조,"월11,12,13,14(인문202)"
,교양,글로벌핵심영어3(공통_중급),2,매튜웨스트,"월11,12,13,14(인문203)"
,교양,글로벌핵심영어3(공통_중급),2,그렉캐리,"월11,12,13,14(상경401)"
,교양,기계ㆍ금속교과교재연구및지도법,3,윤중오,"화19,20,21(3공108)"
,교양,기독교문화의이해,3,오민석,"목7,8,9,10,11,12(인문419)"
,교양,기업가와리더십,2,양준환,"수2,3,4,5(인문106)"
,교양,기업가정신,2,양준환,"화2,3,4,5(인문106)"
,교양,기업가정신과벤처,2,남정민,"화9,10,11,12(사범310)"
,교양,기업가정신토크콘서트,2,남정민,"수3,4,5,6(사범207)"
,교양,기획력과프리젠테이션,2,김광일,"월1,2,3,4(상경208)"
,교양,기획력과프리젠테이션,2,김광일,"월5,6,7,8(상경208)"
,교양,"기획제작및시연(화상/국악,연극,무용,음악,영화)(화상)",2,유용범,"금2,3,4,5(사회215(화상))"
,교양,"기획제작및시현(화상/디자인,사진,미술,공예)(화상)",2,유용범,"금6,7,8,9(사회215(화상))"
,교양,나를찾아가는철학여행(사이버),2,유헌식,"월20,21(사범205)"
,교양,노벨문학상수상작품감상,2,서상국,"월13,14,15,16(국제102_계단)"
,교양,노화의이해,3,신득용,"월7,8,9,10,11,12(3공518)"
,교양,논리와설득의실제2,2,이동희,"목19,20(인문421)"
,교양,뇌와뇌질환의이해,2,김희정,"수13,14,15,16(3공318)"
,교양,뇌와마음의행동,3,윤보은,"월9,10,11,12,13,14(3공318)"
,교양,단국인재아카데미인문학특강,2,강은수,"토1,2,3,4(국제307)"
,교양,단국인재아카데미인문학특강,2,강은수,"금19,20(대학원동320)"
,교양,대중매체와법(법학과 수강제한),3,이정민,"금1,2,3,4,5,6(사범201)"
,교양,대중문화속과학콘서트,3,윤지현,"월13,14,15,16,17,18(3공518)"
,교양,대중문화속뮤지컬과의만남,2,이성준,"금11,12,13,14(서관B102)"
,교양,대학생을위한금융이야기,2,강정원,"화1,2,3,4(사범201)"
,교양,도덕적삶과이상,3,이상훈,"화1,2,3,4,5,6(사범501)"
,교양,독일어초급,3,서송석,"화11,12,13,14,15,16(상경309)"
,교양,동서미술표현기법,2,임두빈,"월20,21(사범208)"
,교양,동아시아역사의이해,3,이재령,"월11,12,13,14,15,16(인문421)"
,교양,동양철학의현대적이해,3,황종원,"목1,2,3,4,5,6(사범311)"
,교양,디자인감상과비평,2,천혜영,"목15,16,17,18(미술321)"
,교양,디자인과문화의이해(사이버),3,박하나,"금19,20,21(사범206)"
,교양,디자인사고를위한통찰훈련,2,전은화,"월15,16,17,18(사범310)"
,교양,디자인트랜드,2,이원재,"월11,12,13,14(사범312)"
,교양,디지털이미지의이해,3,박하나,"목7,8,9,10,11,12(인문205)"
,교양,러시아문화의이해,3,조규연,"화11,12,13,14,15,16(사범402)"
,교양,러시아어초급,3,남서영,"목3,4,5,6,7,8(국제102_계단)"
,교양,명사초청세미나,2,엄기표,"수13,14,15,16(서관B104)"
,교양,몽골문화론,3,김기성,"목11,12,13,14,15,16(상경201)"
,교양,몽골어초급,3,김기성,"목5,6,7,8,9,10(상경201)"
,교양,무용감상및비평,2,정수진,"월15,16,17,18(무용B105)"
,교양,문자의탄생과발전으로보는중국(사이버),2,장호득,"월21,22(사범206)"
,교양,문학과철학의랑데부(사이버),3,유헌식,"수19,20,21(사범205)"
,교양,문학의이해,3,김주언,"목7,8,9,10,11,12(상경103)"
,교양,문화사로읽는우리역사,3,엄기표,"월11,12,13,14,15,16(사범207)"
,교양,뮤지컬감상과비평,2,이성준,"금6,7,8,9(사범208)"
,교양,뮤지컬공연의이해,3,김윤태,"월1,2,3,4,5,6(국제101_계단)"
,교양,뮤지컬발성법의이해,2,전병곤,"목1,2,3,4(서관B102)"
,교양,미디어스토리텔링코어,2,변민주,"목5,6,7,8(인문209)"
,교양,미디어와클래식,2,오유진,"목5,6,7,8(인문320)"
,교양,미래연구와사회변화,3,방민석,"월19,20,21(인문419)"
,교양,미술심리치료,2,김선명,"수15,16,17,18(인문106)"
,교양,민주시민정치와정치관계법,3,장철준,"월1,2,3,4,5,6(사범201)"
,교양,바리스타창업을위한커피오딧세이,2,김성헌,"목11,12,13,14(국제101_계단)"
,교양,바이러스의이해,3,김만복,"금19,20,21(국제102_계단)"
,교양,바이러스의이해,3,김만복,"금2,3,4,5,6,7(사범406)"
