한칸,l_type,교과목명,학점,교강사,요일/시간/(강의실)
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,한도인,"금2,3,4,5(2과306)"
,교양,"글로벌핵심영어2([융합기술대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,허선영,"금2,3,4,5(2과513)"
,교양,"글로벌핵심영어2([생명자원과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,김의영,"목10,11,12,13(생명212)"
,교양,"글로벌핵심영어2([생명자원과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,배상희,"목10,11,12,13(생명213)"
,교양,"글로벌핵심영어2([생명자원과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,존클레이톤위틀,"목10,11,12,13(생명312)"
,교양,"글로벌핵심영어2([생명자원과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,데이비드와쉬번,"목10,11,12,13(생명510)"
,교양,"글로벌핵심영어2([생명자원과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"목10,11,12,13(생명414)"
,교양,"글로벌핵심영어2([생명자원과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"목10,11,12,13(생명415)"
,교양,"글로벌핵심영어2([생명자원과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"목10,11,12,13(생명508)"
,교양,"글로벌핵심영어2([문예창작과 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,이일석,"화6,7,8,9(인000-08)"
,교양,"글로벌핵심영어2([생활음악과 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,김의영,"화6,7,8,9(인000-09)"
,교양,"글로벌핵심영어2([미술학부 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,차민영,"화6,7,8,9(인007-01)"
,교양,"글로벌핵심영어2([미술학부 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"화6,7,8,9(인214)"
,교양,"글로벌핵심영어2([미술학부 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"화6,7,8,9(인420)"
,교양,"글로벌핵심영어2([미술학부 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"화6,7,8,9(인421)"
,교양,"글로벌핵심영어2([국제스포츠학과 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,이일석,"수1,2,3,4(인520)"
,교양,"글로벌핵심영어2([국제스포츠학과 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"수1,2,3,4(인522)"
,교양,"글로벌핵심영어2([스포츠과학대학(국제스포츠 제외) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박성만,"수2,3,4,5(인526)"
,교양,"글로벌핵심영어2([스포츠과학대학(국제스포츠 제외) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"수2,3,4,5(인527)"
,교양,"글로벌핵심영어2([스포츠과학대학(국제스포츠 제외) 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,허선영,"수2,3,4,5(인529)"
,교양,"글로벌핵심영어2([간호학과 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,리간틸든,"목14,15,16,17(인000-08)"
,교양,"글로벌핵심영어2([간호학과 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,케이시모건,"목14,15,16,17(인000-09)"
,교양,"글로벌핵심영어2([간호학과 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,크리스토퍼얼빈,"목14,15,16,17(인007-01)"
,교양,"글로벌핵심영어2([보건과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,김의영,"목14,15,16,17(인214)"
,교양,"글로벌핵심영어2([보건과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박은,"목14,15,16,17(인420)"
,교양,"글로벌핵심영어2([보건과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,데이비드와쉬번,"목14,15,16,17(인421)"
,교양,"글로벌핵심영어2([보건과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,배상희,"목14,15,16,17(인423)"
,교양,"글로벌핵심영어2([보건과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"목14,15,16,17(인424)"
,교양,"글로벌핵심영어2([보건과학대학 1학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,한도인,"목14,15,16,17(인520)"
,교양,"글로벌핵심영어3([영어과 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,크리스토퍼얼빈,"월14,15,16,17(인524-02)"
,교양,"글로벌핵심영어3([영어과 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,케이시모건,"월14,15,16,17(인422)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,리간틸든,"월10,11,12,13(인423)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,케이시모건,"월10,11,12,13(인322-01)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,크리스토퍼얼빈,"월10,11,12,13(인320-02)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,존클레이톤위틀,"월10,11,12,13(인418-02)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,데이비드와쉬번,"월10,11,12,13(인523-01)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박성만,"월10,11,12,13(인523-02)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박은,"월10,11,12,13(인524-01)"
,교양,"글로벌핵심영어3([외국어대학(영어 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,허선영,"월10,11,12,13(인517-01)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,주미란,"목6,7,8,9(1과315)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박은,"목6,7,8,9(1과321)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,한도인,"목6,7,8,9(1과317)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,임희주,"목6,7,8,9(1과318)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,리간틸든,"목6,7,8,9(1과407)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,케이시모건,"목6,7,8,9(1과508)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,크리스토퍼얼빈,"목6,7,8,9(1과415-01)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,존클레이톤위틀,"목6,7,8,9(1과004-02)"
,교양,"글로벌핵심영어3([자연과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,데이비드와쉬번,"목6,7,8,9(1과507)"
,교양,"글로벌핵심영어3([간호학과 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"수14,15,16,17(인000-08)"
,교양,"글로벌핵심영어3([간호학과 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,배상희,"수14,15,16,17(인000-09)"
,교양,"글로벌핵심영어3([간호학과 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,크리스토퍼얼빈,"수14,15,16,17(인007-01)"
,교양,"글로벌핵심영어3([보건과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,리간틸든,"수10,11,12,13(인214)"
,교양,"글로벌핵심영어3([보건과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,케이시모건,"수10,11,12,13(인423)"
,교양,"글로벌핵심영어3([보건과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박성만,"수10,11,12,13(인424)"
,교양,"글로벌핵심영어3([보건과학대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,전수인,"수10,11,12,13(인520)"
,교양,"글로벌핵심영어3([국제스포츠학과 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,리간틸든,"월1,2,3,4(인000-08)"
,교양,"글로벌핵심영어3([국제스포츠학과 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,박성만,"월1,2,3,4(인000-09)"
,교양,"글로벌핵심영어3([스포츠과학대학(국제스포츠 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,케이시모건,"월2,3,4,5(인007-01)"
,교양,"글로벌핵심영어3([스포츠과학대학(국제스포츠 제외) 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,존클레이톤위틀,"월2,3,4,5(인214)"
,교양,"글로벌핵심영어3([경상대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,케이시모건,"화14,15,16,17(사회301)"
,교양,"글로벌핵심영어3([경상대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,존클레이톤위틀,"화14,15,16,17(사회304)"
,교양,"글로벌핵심영어3([경상대학 2학년 전용강좌(타학년 제한없음, 2차때 신청가능)])",2,데이비드와쉬번,"화14,15,16,17(사회303)"
